Date,Shift,Batch ID,Plating Type,Component Type,Machine ID,Bath Temperature (°C),pH Level,Plating Time (min),Thickness (μm),Adhesion Strength (MPa),Phosphorus Content (%),Surface Roughness (Ra μm),Visual Inspection,Corrosion Test,Operator ID,Pass/Fail
2025-01-01,Shift 1,ELP4540,Electroless Nickel,Heat Sink,Tank C,91.6,4.85,43.5,22.99,21.3,8.85,0.5,Blister,Pass,TECH725,Pass
2025-01-01,Shift 1,ELP5163,Electroless Copper,Connector Pins,Tank B,73.0,4.69,79.2,13.95,16.4,,0.65,Pitting,Pass,TECH179,Pass
2025-01-01,Shift 1,ELP1013,Electroless Copper,Gear Housing,Tank B,63.3,4.78,37.2,10.67,10.4,,0.85,Dull Finish,Fail,TECH699,Fail
2025-01-01,Shift 2,ELP7804,Electroless Copper,Gear Housing,Tank B,71.9,4.83,40.1,19.65,20.6,,0.69,Pitting,Fail,TECH856,Pass
2025-01-01,Shift 2,ELP3034,Electroless Nickel,PCB Panel,Tank A,92.6,5.13,70.9,22.33,18.4,9.28,0.91,Pitting,Fail,TECH789,Pass
2025-01-01,Shift 2,ELP2153,Electroless Nickel,Heat Sink,Tank C,91.3,5.27,37.8,16.25,21.7,6.35,1.14,Dull Finish,Fail,TECH866,Pass
2025-01-02,Shift 1,ELP5163,Electroless Copper,Connector Pins,Tank B,73.0,4.69,79.2,13.95,16.4,,0.65,Pitting,Pass,TECH179,Pass
2025-01-02,Shift 1,ELP8276,Electroless Copper,Connector Pins,Tank A,68.9,5.27,36.9,11.92,15.2,,1.08,Blister,Pass,TECH508,Fail
2025-01-02,Shift 1,ELP5739,Electroless Copper,Valve Body,Tank A,70.0,5.49,37.9,18.85,24.4,,1.09,Dull Finish,Pass,TECH632,Pass
2025-01-02,Shift 2,ELP9746,Electroless Nickel,Valve Body,Tank C,85.1,5.32,79.8,17.55,23.9,10.18,0.98,Pitting,Pass,TECH930,Pass
2025-01-02,Shift 2,ELP4103,Electroless Nickel,Valve Body,Tank C,92.6,4.94,72.8,22.42,24.9,7.43,1.13,Pass,Fail,TECH119,Pass
2025-01-02,Shift 2,ELP5739,Electroless Copper,Valve Body,Tank A,70.0,5.49,37.9,18.85,24.4,,1.09,Dull Finish,Pass,TECH632,Pass
2025-01-03,Shift 1,ELP4942,Electroless Nickel,PCB Panel,Tank B,86.8,5.03,35.8,19.88,10.4,9.59,0.73,Dull Finish,Pass,TECH788,Fail
2025-01-03,Shift 1,ELP8473,Electroless Nickel,Gear Housing,Tank C,89.6,4.77,72.9,13.29,22.3,6.61,0.59,Blister,Fail,TECH460,Pass
2025-01-03,Shift 1,ELP2833,Electroless Copper,Valve Body,Tank B,62.3,5.49,57.6,11.99,11.7,,0.87,Pass,Fail,TECH817,Fail
2025-01-03,Shift 2,ELP4203,Electroless Nickel,Valve Body,Tank A,88.7,5.1,35.7,12.89,10.2,7.33,0.83,Blister,Fail,TECH835,Fail
2025-01-03,Shift 2,ELP3133,Electroless Nickel,PCB Panel,Tank C,85.8,4.52,54.0,20.44,18.0,7.42,0.32,Dull Finish,Pass,TECH902,Pass
2025-01-03,Shift 2,ELP3506,Electroless Copper,Valve Body,Tank C,74.9,4.69,52.7,13.14,22.2,,0.57,Pitting,Fail,TECH157,Pass
2025-01-04,Shift 1,ELP3074,Electroless Nickel,Valve Body,Tank C,91.7,4.51,44.4,10.75,18.7,6.47,0.99,Pitting,Pass,TECH275,Fail
2025-01-04,Shift 1,ELP2956,Electroless Copper,Connector Pins,Tank C,70.9,5.19,53.6,16.32,22.1,,0.99,Blister,Fail,TECH114,Pass
2025-01-04,Shift 1,ELP9417,Electroless Copper,Valve Body,Tank C,63.4,5.37,51.7,14.59,13.6,,0.47,Pass,Fail,TECH514,Fail
2025-01-04,Shift 2,ELP7282,Electroless Copper,PCB Panel,Tank B,63.6,4.59,35.8,12.27,20.5,,0.32,Pitting,Fail,TECH908,Pass
2025-01-04,Shift 2,ELP5570,Electroless Copper,Gear Housing,Tank C,65.3,5.47,47.4,10.82,14.7,,0.76,Pitting,Pass,TECH905,Fail
2025-01-04,Shift 2,ELP6351,Electroless Copper,Connector Pins,Tank A,69.2,4.83,68.2,11.85,16.0,,0.72,Pass,Pass,TECH344,Fail
2025-01-05,Shift 1,ELP8597,Electroless Nickel,Gear Housing,Tank A,91.3,5.4,52.6,23.01,11.6,10.15,1.03,Pass,Fail,TECH967,Fail
2025-01-05,Shift 1,ELP2838,Electroless Nickel,PCB Panel,Tank C,87.4,4.96,82.9,19.21,19.2,7.31,0.6,Pitting,Fail,TECH408,Pass
2025-01-05,Shift 1,ELP9318,Electroless Nickel,Gear Housing,Tank C,88.8,4.7,72.0,10.71,23.8,6.41,0.36,Blister,Pass,TECH660,Fail
2025-01-05,Shift 2,ELP8938,Electroless Copper,Heat Sink,Tank B,71.9,5.5,47.6,23.91,24.0,,0.23,Dull Finish,Fail,TECH663,Pass
