Date,Shift,Mold ID,Part Name,Wear Level (%),Surface Roughness (Ra μm),Clearance (mm),Alignment Accuracy (mm),Leak Check,Corrosion,Crack Detected,Function Test,Lubrication Status,Pass/Fail
2025-01-01,Shift 1,MOLD741,Guide Pin,60.8,1.03,0.323,0.076,Pass,Severe,No,Fail,Needs Reapply,Fail
2025-01-01,Shift 1,MOLD742,Core Plate,43.5,0.28,0.339,0.188,Pass,Moderate,Yes,Fail,Good,Fail
2025-01-01,Shift 1,MOLD560,Runner Channel,15.0,0.57,0.418,0.128,Fail,Moderate,Yes,Pass,Needs Reapply,Pass
2025-01-01,Shift 2,MOLD126,Support Pillar,68.7,0.47,0.109,0.045,Pass,Moderate,No,Pass,Good,Pass
2025-01-01,Shift 2,MOLD727,Core Plate,53.7,0.41,0.351,0.181,Fail,Moderate,Yes,Fail,Needs Reapply,Fail
2025-01-01,Shift 2,MOLD124,Support Pillar,11.1,0.74,0.056,0.147,Pass,None,Yes,Pass,Good,Pass
2025-01-02,Shift 1,MOLD255,Cooling Channel,68.9,0.16,0.483,0.114,Fail,Minor,Yes,Fail,Good,Pass
2025-01-02,Shift 1,MOLD522,Gate Insert,36.9,0.17,0.109,0.012,Pass,Severe,No,Fail,Dry,Pass
2025-01-02,Shift 1,MOLD903,Guide Pin,78.9,0.21,0.315,0.097,Pass,Moderate,Yes,Fail,Dry,Pass
2025-01-02,Shift 2,MOLD348,Core Puller,23.5,0.51,0.15,0.036,Fail,Minor,Yes,Fail,Dry,Pass
2025-01-02,Shift 2,MOLD412,Ejector Plate,38.5,0.63,0.337,0.039,Fail,Minor,Yes,Pass,Needs Reapply,Pass
2025-01-02,Shift 2,MOLD654,Cooling Channel,64.4,0.44,0.05,0.106,Fail,Severe,No,Pass,Needs Reapply,Pass
2025-01-03,Shift 1,MOLD565,Runner Channel,16.2,0.65,0.213,0.097,Pass,Moderate,Yes,Pass,Needs Reapply,Pass
2025-01-03,Shift 1,MOLD360,Support Pillar,44.3,0.45,0.083,0.119,Pass,Minor,No,Fail,Good,Pass
2025-01-03,Shift 1,MOLD772,Core Puller,90.3,0.99,0.161,0.098,Pass,Moderate,No,Pass,Needs Reapply,Fail
2025-01-03,Shift 2,MOLD765,Hot Runner Manifold,84.7,0.66,0.453,0.157,Fail,Minor,Yes,Pass,Needs Reapply,Fail
2025-01-03,Shift 2,MOLD372,Sprue Bushing,78.2,0.7,0.419,0.064,Pass,Minor,No,Pass,Good,Pass
2025-01-03,Shift 2,MOLD855,Runner Channel,48.8,0.64,0.097,0.028,Pass,Moderate,No,Pass,Dry,Pass
2025-01-04,Shift 1,MOLD541,Hot Runner Manifold,35.7,0.5,0.153,0.108,Fail,Minor,No,Fail,Needs Reapply,Pass
2025-01-04,Shift 1,MOLD226,Cavity Plate,3.3,0.35,0.046,0.176,Pass,None,Yes,Pass,Dry,Fail
2025-01-04,Shift 1,MOLD973,Sprue Bushing,74.3,0.57,0.185,0.058,Fail,None,No,Fail,Good,Pass
2025-01-04,Shift 2,MOLD865,Ejector Pins,50.4,0.56,0.346,0.13,Fail,None,Yes,Pass,Needs Reapply,Pass
2025-01-04,Shift 2,MOLD173,Guide Bushing,62.8,0.67,0.319,0.039,Fail,Severe,No,Fail,Good,Pass
2025-01-04,Shift 2,MOLD527,Guide Bushing,22.9,0.92,0.388,0.121,Pass,None,No,Fail,Needs Reapply,Pass
2025-01-05,Shift 1,MOLD474,Slide Unit,97.9,0.88,0.372,0.02,Fail,Severe,No,Pass,Good,Fail
2025-01-05,Shift 1,MOLD203,Cooling Channel,14.3,0.53,0.118,0.105,Pass,None,No,Pass,Dry,Pass
2025-01-05,Shift 1,MOLD666,Ejector Plate,9.7,0.13,0.23,0.031,Fail,Severe,No,Pass,Needs Reapply,Pass
2025-01-05,Shift 2,MOLD855,Runner Channel,48.8,0.64,0.097,0.028,Pass,Moderate,No,Pass,Dry,Pass
2025-01-05,Shift 2,MOLD382,Runner Channel,86.5,0.54,0.432,0.128,Fail,Severe,Yes,Pass,Dry,Fail
2025-01-05,Shift 2,MOLD134,Vent Groove,6.3,0.5,0.132,0.138,Pass,Minor,Yes,Pass,Dry,Pass
2025-01-06,Shift 1,MOLD431,Core Puller,7.0,1.13,0.116,0.034,Pass,Moderate,No,Fail,Needs Reapply,Fail
