Date,Shift,Panel Serial No.,Panel Type,Assembly Line,Cycle Time (s),Number of Cells,Cell Alignment Deviation (mm),Glass Thickness (mm),Junction Box Attached,Power Output (W),Efficiency (%),Insulation Resistance (MΩ),Flash Test Result,Visual Inspection,Operator ID,Final Inspection
2025-04-01,Shift 1,SP512458,Thin-Film,Line 3,965.9,60,0.2,3.2,Yes,380.2,17.69,663.8,Fail,Pass,EMP593,Pass
2025-04-01,Shift 1,SP606932,Thin-Film,Line 1,1115.8,60,0.1,3.9,Yes,361.0,15.24,352.2,Pass,Crack,EMP448,Fail
2025-04-01,Shift 1,SP262520,Polycrystalline,Line 3,731.3,60,0.11,3.3,Yes,356.1,21.04,141.3,Fail,Pass,EMP993,Fail
2025-04-01,Shift 2,SP468301,Monocrystalline,Line 3,694.0,72,0.19,4.0,No,263.2,20.26,999.3,Pass,Crack,EMP533,Pass
2025-04-01,Shift 2,SP804943,Monocrystalline,Line 2,905.5,60,0.43,3.9,Yes,370.9,21.93,926.4,Fail,Crack,EMP415,Pass
2025-04-01,Shift 2,SP239966,Thin-Film,Line 1,801.6,60,0.38,3.1,Yes,273.7,18.14,235.0,Fail,Misalignment,EMP358,Pass
2025-04-02,Shift 1,SP310509,Thin-Film,Line 3,1143.2,60,0.11,3.5,No,337.5,19.92,739.5,Pass,Crack,EMP795,Pass
2025-04-02,Shift 1,SP128708,Polycrystalline,Line 3,884.1,72,0.24,3.9,No,340.1,19.09,727.2,Pass,Crack,EMP538,Pass
2025-04-02,Shift 1,SP729989,Polycrystalline,Line 2,1175.2,60,0.04,3.4,Yes,315.6,19.96,460.6,Pass,Misalignment,EMP138,Pass
2025-04-02,Shift 2,SP712460,Monocrystalline,Line 1,934.5,60,0.34,3.6,No,340.2,20.38,121.5,Fail,Misalignment,EMP554,Fail
2025-04-02,Shift 2,SP515751,Thin-Film,Line 1,1181.2,72,0.06,3.1,Yes,340.2,20.71,194.5,Fail,Pass,EMP973,Fail
2025-04-02,Shift 2,SP833210,Thin-Film,Line 3,999.0,60,0.02,3.0,No,304.7,18.76,179.9,Pass,Pass,EMP727,Fail
2025-04-03,Shift 1,SP848822,Monocrystalline,Line 2,1197.7,60,0.39,3.8,No,397.3,15.41,224.1,Fail,Pass,EMP508,Fail
2025-04-03,Shift 1,SP583475,Polycrystalline,Line 3,1069.6,72,0.36,3.1,Yes,307.9,20.68,529.4,Pass,Pass,EMP708,Pass
2025-04-03,Shift 1,SP503570,Polycrystalline,Line 1,1078.8,72,0.37,3.3,No,371.9,18.83,890.2,Pass,Crack,EMP476,Pass
2025-04-03,Shift 2,SP955179,Thin-Film,Line 2,1006.2,72,0.31,3.5,Yes,372.5,16.14,557.4,Fail,Crack,EMP519,Pass
2025-04-03,Shift 2,SP786071,Monocrystalline,Line 2,1120.3,60,0.29,3.8,Yes,379.7,21.27,148.4,Pass,Crack,EMP713,Fail
2025-04-03,Shift 2,SP900320,Polycrystalline,Line 1,931.9,72,0.48,3.0,Yes,280.3,19.54,196.4,Pass,Scratch,EMP708,Fail
2025-04-04,Shift 1,SP768762,Thin-Film,Line 1,1076.8,60,0.08,3.4,No,360.7,19.24,174.0,Fail,Scratch,EMP532,Fail
2025-04-04,Shift 1,SP584864,Thin-Film,Line 1,921.4,72,0.11,3.9,Yes,299.4,16.13,335.3,Pass,Pass,EMP164,Pass
2025-04-04,Shift 1,SP352954,Polycrystalline,Line 3,887.4,60,0.37,3.3,No,383.7,17.21,227.8,Pass,Crack,EMP909,Pass
2025-04-04,Shift 2,SP202036,Thin-Film,Line 2,767.4,60,0.37,3.6,No,352.9,15.36,252.0,Fail,Pass,EMP305,Fail
2025-04-04,Shift 2,SP631654,Polycrystalline,Line 1,781.0,72,0.11,3.4,Yes,380.8,18.93,601.1,Pass,Scratch,EMP132,Pass
2025-04-04,Shift 2,SP165268,Thin-Film,Line 1,1073.0,72,0.21,3.9,No,364.8,17.35,617.2,Fail,Pass,EMP497,Pass
2025-04-05,Shift 1,SP212576,Polycrystalline,Line 1,656.4,72,0.09,4.0,Yes,261.9,20.66,720.8,Pass,Scratch,EMP402,Pass
2025-04-05,Shift 1,SP309901,Thin-Film,Line 3,728.2,72,0.2,3.8,No,282.1,20.58,773.4,Fail,Pass,EMP794,Pass
2025-04-05,Shift 1,SP553807,Monocrystalline,Line 1,743.5,60,0.3,4.0,No,376.1,18.33,228.6,Fail,Misalignment,EMP538,Pass
2025-04-05,Shift 2,SP755634,Thin-Film,Line 2,909.3,72,0.13,3.8,No,272.5,17.86,212.2,Fail,Misalignment,EMP762,Pass
2025-04-05,Shift 2,SP217769,Monocrystalline,Line 1,978.5,60,0.39,4.0,Yes,329.4,21.33,574.2,Fail,Misalignment,EMP813,Pass
2025-04-05,Shift 2,SP825779,Thin-Film,Line 2,819.8,60,0.13,4.0,Yes,342.2,17.87,453.1,Fail,Crack,EMP695,Pass
2025-04-06,Shift 1,SP689299,Thin-Film,Line 3,781.9,60,0.07,3.1,Yes,331.7,18.87,723.9,Pass,Pass,EMP349,Pass
2025-04-06,Shift 1,SP766911,Polycrystalline,Line 3,711.3,72,0.27,3.7,Yes,266.4,17.72,646.0,Fail,Crack,EMP705,Pass
2025-04-06,Shift 1,SP516446,Polycrystalline,Line 2,1028.4,72,0.45,3.7,Yes,317.7,21.29,325.9,Pass,Misalignment,EMP211,Pass
2025-04-06,Shift 2,SP917497,Monocrystalline,Line 3,665.2,72,0.21,3.5,No,269.6,19.0,927.7,Fail,Scratch,EMP656,Pass
2025-04-06,Shift 2,SP827906,Polycrystalline,Line 3,715.8,60,0.43,3.8,No,363.3,19.22,981.1,Fail,Misalignment,EMP528,Pass
2025-04-06,Shift 2,SP790530,Monocrystalline,Line 2,1075.3,72,0.43,3.8,No,255.9,16.81,226.6,Pass,Scratch,EMP913,Pass
2025-04-07,Shift 1,SP552493,Monocrystalline,Line 1,834.2,72,0.07,3.9,No,371.4,17.02,900.4,Pass,Misalignment,EMP694,Pass
2025-04-07,Shift 1,SP189001,Monocrystalline,Line 3,1098.1,72,0.27,3.7,Yes,283.9,21.3,707.5,Fail,Pass,EMP582,Pass
2025-04-07,Shift 1,SP247961,Thin-Film,Line 3,1161.1,60,0.06,3.3,No,322.3,21.32,502.3,Pass,Pass,EMP350,Pass
2025-04-07,Shift 2,SP760055,Thin-Film,Line 3,1079.0,72,0.08,3.6,Yes,369.0,17.18,353.4,Pass,Scratch,EMP719,Pass
2025-04-07,Shift 2,SP441277,Monocrystalline,Line 3,984.3,60,0.14,3.4,Yes,374.0,17.91,485.7,Fail,Pass,EMP857,Pass
2025-04-07,Shift 2,SP667822,Thin-Film,Line 1,697.2,60,0.48,3.4,Yes,284.0,21.21,294.4,Fail,Scratch,EMP715,Pass
2025-04-08,Shift 1,SP752763,Monocrystalline,Line 2,751.3,60,0.45,3.6,Yes,286.6,16.8,851.2,Pass,Pass,EMP625,Pass
2025-04-08,Shift 1,SP736702,Thin-Film,Line 3,980.8,60,0.24,3.1,No,312.5,19.62,990.1,Pass,Scratch,EMP891,Pass
2025-04-08,Shift 1,SP286000,Monocrystalline,Line 2,829.6,72,0.16,3.9,Yes,315.8,15.36,179.7,Pass,Scratch,EMP288,Fail
2025-04-08,Shift 2,SP327756,Polycrystalline,Line 3,697.7,60,0.27,3.5,No,331.4,21.27,297.6,Pass,Pass,EMP800,Pass
2025-04-08,Shift 2,SP733356,Thin-Film,Line 2,1097.3,60,0.15,3.2,Yes,383.4,16.46,988.6,Pass,Crack,EMP229,Pass
2025-04-08,Shift 2,SP895989,Monocrystalline,Line 3,682.0,72,0.36,3.1,No,319.7,20.53,743.0,Fail,Pass,EMP480,Pass
2025-04-09,Shift 1,SP673198,Monocrystalline,Line 1,1007.2,72,0.25,3.2,Yes,327.5,15.18,899.0,Fail,Crack,EMP512,Fail
2025-04-09,Shift 1,SP644995,Monocrystalline,Line 2,617.7,72,0.31,3.4,Yes,395.1,19.01,499.8,Fail,Pass,EMP440,Pass
2025-04-09,Shift 1,SP686737,Polycrystalline,Line 1,868.9,72,0.03,3.9,No,373.0,20.81,631.1,Fail,Scratch,EMP152,Pass
2025-04-09,Shift 2,SP816501,Monocrystalline,Line 2,1194.6,60,0.13,3.4,No,347.7,16.43,427.6,Fail,Crack,EMP650,Pass
2025-04-09,Shift 2,SP774402,Thin-Film,Line 1,865.9,72,0.42,3.8,Yes,305.3,21.7,950.1,Pass,Scratch,EMP399,Pass
2025-04-09,Shift 2,SP316160,Monocrystalline,Line 1,1028.9,72,0.11,4.0,No,271.3,21.32,313.0,Pass,Crack,EMP668,Pass
2025-04-10,Shift 1,SP101926,Polycrystalline,Line 1,839.9,60,0.04,3.7,No,267.1,18.49,620.6,Pass,Scratch,EMP857,Pass
2025-04-10,Shift 1,SP885226,Polycrystalline,Line 3,750.0,72,0.13,3.0,Yes,305.6,19.06,905.0,Pass,Pass,EMP193,Pass
2025-04-10,Shift 1,SP127539,Thin-Film,Line 3,933.6,60,0.12,3.3,Yes,287.9,18.69,491.2,Fail,Scratch,EMP841,Pass
2025-04-10,Shift 2,SP157808,Thin-Film,Line 3,805.4,60,0.43,4.0,Yes,309.9,16.14,847.0,Fail,Crack,EMP209,Pass
2025-04-10,Shift 2,SP608020,Monocrystalline,Line 2,922.6,60,0.08,3.1,Yes,268.9,21.76,836.6,Pass,Scratch,EMP169,Pass
2025-04-10,Shift 2,SP800439,Thin-Film,Line 1,1036.8,60,0.26,3.5,Yes,354.4,16.45,911.1,Fail,Pass,EMP979,Pass
