Date,Shift,Batch ID,Model,Dashboard Type,Display Resolution,Backlight Brightness (nits),Touch Screen Sensitivity (ms),Button Press Response (ms),Wiring Harness Check,CAN Bus Signal Integrity,Boot Time (sec),Software Version,Warning Light Cycle OK,Touch Calibration Status,Tested RPM Reading,Tested Speed Reading (km/h),Tested Fuel Level (%),Tester ID,Pass/Fail
2025-01-01,Shift 1,DASH8607,Camry,Hybrid,1024x600,442.5,33.22,31.14,Fail,Fail,8.13,v1.27.1,Yes,Not Calibrated,2186.0,31.0,71.2,EMP771,Pass
2025-01-01,Shift 1,DASH4223,Highlander,Hybrid,800x480,340.5,14.59,24.45,Pass,Pass,7.33,v1.26.0,No,Not Calibrated,1152.0,12.0,1.9,EMP120,Pass
2025-01-01,Shift 1,DASH9115,Tacoma,Analog,800x480,453.5,19.05,32.0,Pass,Fail,5.19,v1.27.1,No,Calibrated,5029.0,197.0,16.7,EMP916,Pass
2025-01-01,Shift 2,DASH3225,Tacoma,Digital,1024x600,438.4,13.18,20.06,Fail,Fail,3.97,v1.26.0,Yes,Not Calibrated,6081.0,125.0,49.8,EMP342,Pass
2025-01-01,Shift 2,DASH9392,RAV4,Digital,800x480,344.2,37.95,16.5,Pass,Pass,7.15,v1.25.3,No,Not Calibrated,1135.0,105.0,34.9,EMP957,Pass
2025-01-01,Shift 2,DASH4960,RAV4,Digital,800x480,419.4,16.33,13.5,Fail,Pass,3.7,v1.24.7,No,Calibrated,6730.0,138.0,97.2,EMP480,Pass
2025-01-02,Shift 1,DASH1389,Camry,Analog,800x480,396.3,26.56,36.75,Fail,Pass,7.51,v1.27.1,No,Not Calibrated,1179.0,107.0,91.5,EMP516,Pass
2025-01-02,Shift 1,DASH1579,Corolla,Analog,1024x600,389.0,10.65,14.36,Fail,Pass,8.62,v1.26.0,No,Calibrated,6799.0,80.0,75.8,EMP642,Pass
2025-01-02,Shift 1,DASH9080,Highlander,Digital,800x480,494.4,28.86,39.4,Fail,Pass,2.87,v1.25.3,No,Not Calibrated,1645.0,207.0,9.4,EMP851,Pass
2025-01-02,Shift 2,DASH6761,RAV4,Digital,1280x720,202.9,45.69,23.75,Fail,Pass,7.49,v1.25.3,Yes,Not Calibrated,2639.0,9.0,39.9,EMP857,Pass
2025-01-02,Shift 2,DASH8916,Highlander,Hybrid,1280x720,431.4,25.28,32.41,Pass,Pass,2.15,v1.26.0,No,Not Calibrated,5403.0,63.0,88.0,EMP878,Fail
2025-01-02,Shift 2,DASH2162,Yaris,Digital,1024x600,404.5,41.76,20.57,Fail,Pass,6.71,v1.26.0,Yes,Calibrated,6543.0,17.0,61.7,EMP306,Fail
2025-01-03,Shift 1,DASH3049,Tacoma,Digital,800x480,203.4,10.17,36.03,Fail,Pass,9.64,v1.27.1,No,Not Calibrated,2977.0,83.0,11.5,EMP612,Pass
2025-01-03,Shift 1,DASH8020,RAV4,Hybrid,1024x600,232.8,40.67,13.01,Pass,Fail,4.54,v1.25.3,Yes,Not Calibrated,4642.0,63.0,15.9,EMP398,Pass
2025-01-03,Shift 1,DASH9323,RAV4,Analog,1280x720,496.5,41.37,20.11,Fail,Pass,5.1,v1.25.3,No,Not Calibrated,4509.0,98.0,52.2,EMP187,Pass
2025-01-03,Shift 2,DASH8875,Corolla,Analog,1024x600,311.6,32.1,39.86,Fail,Fail,3.19,v1.26.0,Yes,Calibrated,5765.0,158.0,25.2,EMP272,Pass
2025-01-03,Shift 2,DASH1731,Camry,Digital,1024x600,297.4,44.28,36.77,Pass,Fail,5.3,v1.25.3,Yes,Not Calibrated,4170.0,127.0,60.6,EMP290,Pass
2025-01-03,Shift 2,DASH4735,Camry,Digital,1280x720,461.6,13.4,35.93,Pass,Fail,3.47,v1.25.3,Yes,Not Calibrated,2996.0,124.0,70.4,EMP895,Pass
2025-01-04,Shift 1,DASH7194,Camry,Hybrid,1280x720,281.9,28.85,17.6,Fail,Pass,7.22,v1.27.1,No,Calibrated,3292.0,152.0,14.8,EMP870,Pass
2025-01-04,Shift 1,DASH7488,Highlander,Digital,1280x720,493.7,19.64,36.85,Fail,Fail,4.94,v1.25.3,No,Not Calibrated,1393.0,50.0,7.5,EMP411,Pass
2025-01-04,Shift 1,DASH9653,Camry,Hybrid,1280x720,412.9,28.85,11.47,Pass,Fail,3.36,v1.26.0,Yes,Not Calibrated,3574.0,131.0,28.2,EMP750,Pass
2025-01-04,Shift 2,DASH3741,Yaris,Hybrid,1280x720,499.0,38.13,39.58,Fail,Fail,6.66,v1.27.1,No,Calibrated,735.0,214.0,22.5,EMP675,Pass
2025-01-04,Shift 2,DASH8510,Corolla,Analog,1024x600,210.1,35.11,10.55,Fail,Pass,3.19,v1.25.3,Yes,Not Calibrated,4604.0,221.0,55.6,EMP454,Pass
2025-01-04,Shift 2,DASH7255,Highlander,Hybrid,1024x600,317.8,38.01,24.69,Pass,Fail,3.24,v1.24.7,No,Not Calibrated,1134.0,75.0,68.4,EMP112,Pass
2025-01-05,Shift 1,DASH2125,Tacoma,Hybrid,1280x720,338.1,20.54,25.04,Pass,Fail,4.85,v1.24.7,No,Not Calibrated,6415.0,126.0,99.2,EMP542,Pass
2025-01-05,Shift 1,DASH7843,Highlander,Hybrid,1024x600,318.8,32.07,33.27,Fail,Fail,6.59,v1.24.7,Yes,Not Calibrated,5790.0,210.0,39.3,EMP667,Pass
2025-01-05,Shift 1,DASH3988,Highlander,Digital,1024x600,215.1,38.49,36.12,Fail,Fail,4.47,v1.26.0,Yes,Not Calibrated,1210.0,198.0,30.0,EMP356,Pass
2025-01-05,Shift 2,DASH9080,Highlander,Digital,800x480,494.4,28.86,39.4,Fail,Pass,2.87,v1.25.3,No,Not Calibrated,1645.0,207.0,9.4,EMP851,Pass
2025-01-05,Shift 2,DASH1418,Tacoma,Digital,1280x720,351.3,33.02,29.82,Pass,Pass,4.88,v1.24.7,No,Not Calibrated,2597.0,216.0,77.7,EMP448,Pass
2025-01-05,Shift 2,DASH4570,RAV4,Hybrid,1024x600,465.9,34.42,31.51,Pass,Fail,6.57,v1.24.7,No,Not Calibrated,1456.0,152.0,97.6,EMP197,Pass
2025-01-06,Shift 1,DASH1452,RAV4,Analog,1280x720,301.7,22.83,32.05,Fail,Pass,6.06,v1.24.7,No,Calibrated,5344.0,122.0,71.3,EMP395,Pass
2025-01-06,Shift 1,DASH9653,Camry,Hybrid,1280x720,412.9,28.85,11.47,Pass,Fail,3.36,v1.26.0,Yes,Not Calibrated,3574.0,131.0,28.2,EMP750,Pass
2025-01-06,Shift 1,DASH3592,Highlander,Hybrid,1280x720,393.8,37.29,15.62,Fail,Fail,3.12,v1.27.1,Yes,Calibrated,4723.0,185.0,79.6,EMP940,Pass
2025-01-06,Shift 2,DASH8560,Corolla,Hybrid,800x480,365.8,44.26,30.95,Pass,Fail,4.88,v1.27.1,No,Not Calibrated,4961.0,12.0,93.3,EMP894,Pass
2025-01-06,Shift 2,DASH2792,Highlander,Analog,1024x600,480.6,17.29,27.25,Pass,Pass,8.2,v1.25.3,Yes,Calibrated,2317.0,148.0,41.8,EMP733,Pass
2025-01-06,Shift 2,DASH3349,Camry,Hybrid,1280x720,485.2,12.7,16.55,Fail,Fail,8.33,v1.27.1,No,Calibrated,6438.0,212.0,62.3,EMP277,Pass
2025-01-07,Shift 1,DASH9663,Camry,Digital,1280x720,400.5,42.7,21.36,Pass,Pass,4.51,v1.25.3,Yes,Calibrated,3253.0,182.0,74.9,EMP821,Pass
2025-01-07,Shift 1,DASH8531,Corolla,Analog,1280x720,282.9,17.92,14.63,Fail,Pass,5.85,v1.24.7,Yes,Not Calibrated,2575.0,46.0,73.1,EMP754,Pass
2025-01-07,Shift 1,DASH9589,Camry,Digital,1280x720,404.1,16.48,23.96,Pass,Fail,4.65,v1.25.3,Yes,Not Calibrated,1770.0,130.0,38.5,EMP981,Pass
2025-01-07,Shift 2,DASH2125,Tacoma,Hybrid,1280x720,338.1,20.54,25.04,Pass,Fail,4.85,v1.24.7,No,Not Calibrated,6415.0,126.0,99.2,EMP542,Pass
2025-01-07,Shift 2,DASH5130,RAV4,Hybrid,800x480,453.0,37.08,26.81,Fail,Fail,4.98,v1.26.0,No,Not Calibrated,981.0,97.0,76.7,EMP448,Pass
